State,Number of CoCs,"Total Homeless, 2010","Sheltered Homeless, 2010","Unsheltered Homeless, 2010","Homeless Individuals, 2010","Sheltered Homeless Individuals, 2010","Unsheltered Homeless Individuals, 2010","Homeless People in Families, 2010","Sheltered Homeless People in Families, 2010","Unsheltered Homeless People in Families, 2010","Chronically Homeless Individuals, 2010","Sheltered Chronically Homeless Individuals, 2010","Unsheltered Chronically Homeless Individuals, 2010","Homeless Veterans, 2010","Sheltered Homeless Veterans, 2010","Unsheltered Homeless Veterans, 2010"
PR,2,"4,149","1,404","2,745","3,721","1,124","2,597",428,280,148,"2,218",684,"1,534",106,33,73
RI,1,"1,282","1,206",76,704,632,72,578,574,4,86,60,26,91,87,4
SC,4,"4,473","3,036","1,437","3,194","1,945","1,249","1,279","1,091",188,674,392,282,687,497,190
SD,1,731,667,64,445,381,64,286,286,0,109,45,64,135,118,17
TN,10,"10,276","6,999","3,277","7,623","5,060","2,563","2,653","1,939",714,"2,495","1,496",999,"1,679","1,075",604
TX,17,"35,121","19,191","15,930","24,078","11,249","12,829","11,043","7,942","3,101","6,512","2,577","3,935","5,133","2,688","2,445"
UT,3,"3,284","2,722",562,"1,926","1,393",533,"1,358","1,329",29,406,125,281,342,301,41
VA,22,"9,080","7,439","1,641","5,338","3,966","1,372","3,742","3,473",269,"1,510",983,527,995,830,165
VI,1,487,92,395,468,73,395,19,19,0,385,20,365,42,10,32
VT,2,"1,220","1,078",142,797,672,125,423,406,17,133,85,48,117,104,13
WA,7,"22,878","16,489","6,389","11,901","6,705","5,196","10,977","9,784","1,193","2,106","1,281",825,"2,043","1,282",761
WI,4,"6,333","5,253","1,080","3,040","2,598",442,"3,293","2,655",638,727,608,119,609,581,28
WV,4,"2,264","1,524",740,"1,527","1,048",479,737,476,261,516,358,158,576,393,183
WY,1,579,515,64,327,269,58,252,246,6,101,52,49,85,71,14
Total,444,"637,077","403,543","233,534","395,140","212,218","182,922","241,937","191,325","50,612","106,062","43,329","62,733","74,087","43,437","30,650"
,,,,,,,,,,,,,,,,
