CoC Number,CoC Name,"Total Homeless, 2007","Sheltered Homeless, 2007","Unsheltered Homeless, 2007","Homeless Individuals, 2007","Sheltered Homeless Individuals, 2007","Unsheltered Homeless Individuals, 2007","Homeless People in Families, 2007","Sheltered Homeless People in Families, 2007","Unsheltered Homeless People in Families, 2007","Chronically Homeless Individuals, 2007","Sheltered Chronically Homeless Individuals, 2007","Unsheltered Chronically Homeless Individuals, 2007"
CA-526,"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",400,79,321,252,26,226,148,53,95,90,14,76
CA-600,Los Angeles City & County CoC,"47,862","11,442","36,420","44,185","8,417","35,768","3,677","3,025",652,"19,031","1,604","17,427"
CA-601,San Diego City and County CoC,"7,326","3,981","3,345","5,295","2,345","2,950","2,031","1,636",395,975,268,707
CA-602,Santa Ana/Anaheim/Orange County CoC,"3,649","2,578","1,071","2,112","1,296",816,"1,537","1,282",255,257,36,221
CA-603,Santa Maria/Santa Barbara County CoC,"4,253","1,480","2,773","3,212",711,"2,501","1,041",769,272,503,244,259
CA-604,Bakersfield/Kern County CoC,"1,537",905,632,"1,248",646,602,289,259,30,316,69,247
CA-606,Long Beach CoC,"3,829","1,679","2,150","2,814","1,189","1,625","1,015",490,525,628,0,628
CA-607,Pasadena CoC,969,434,535,676,298,378,293,136,157,279,59,220
CA-608,Riverside City & County CoC,"4,508","1,330","3,178","3,343",612,"2,731","1,165",718,447,"1,003",154,849
CA-609,San Bernardino City & County CoC,"6,969","1,220","5,749","6,191",609,"5,582",778,611,167,"2,386",142,"2,244"
CA-611,Oxnard/San Buenaventura/Ventura County CoC,"1,961",426,"1,535","1,513",247,"1,266",448,179,269,301,42,259
CA-612,Glendale CoC,296,233,63,161,123,38,135,110,25,79,64,15
CA-613,Imperial County CoC,342,113,229,54,54,0,288,59,229,229,0,229
CA-614,San Luis Obispo County CoC,"2,408",187,"2,221","1,348",130,"1,218","1,060",57,"1,003",615,15,600
CO-500,Colorado Balance of State CoC,"4,450","1,093","3,357","2,633",451,"2,182","1,817",642,"1,175","1,443",31,"1,412"
CO-503,Metropolitan Denver Homeless Initiative,"8,698","5,185","3,513","3,449","2,169","1,280","5,249","3,016","2,233",412,272,140
CO-504,Colorado Springs/El Paso County CoC,"1,077",693,384,762,434,328,315,259,56,195,101,94
CT-503,Bridgeport/Norwalk /Stamford/Fairfield County CoC,919,789,130,627,504,123,292,285,7,135,75,60
CT-505,Connecticut Balance of State CoC,"3,563","2,882",681,"2,546","1,952",594,"1,017",930,87,888,521,367
DC-500,District of Columbia CoC,"5,320","4,980",340,"3,717","3,377",340,"1,603","1,603",0,"1,760","1,439",321
DE-500,Delaware Statewide CoC,"1,061",854,207,716,530,186,345,324,21,150,76,74
FL-500,"Sarasota/Bradenton/Manatee, Sarasota Counties CoC","1,012",494,518,777,342,435,235,152,83,135,0,135
FL-501,Tampa/Hillsborough County CoC,"6,483","1,050","5,433","4,397",584,"3,813","2,086",466,"1,620",528,147,381
FL-502,St. Petersburg/Clearwater/Largo/Pinellas County CoC,"2,526","1,305","1,221","2,129",911,"1,218",397,394,3,611,197,414
FL-503,Lakeland/Winter Haven/Polk County CoC,802,487,315,593,336,257,209,151,58,197,179,18
FL-504,"Daytona Beach/Daytona/Volusia, Flagler Counties CoC","1,478",569,909,854,203,651,624,366,258,184,0,184
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC","2,179",105,"2,074","1,193",51,"1,142",986,54,932,828,0,828
FL-506,Tallahassee/Leon County CoC,590,495,95,434,364,70,156,131,25,150,100,50
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC","3,823","2,003","1,820","2,009","1,239",770,"1,814",764,"1,050",951,324,627
FL-508,"Gainesville/Alachua, Putnam Counties CoC",678,263,415,589,181,408,89,82,7,179,5,174
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC","1,734",458,"1,276",972,145,827,762,313,449,202,0,202
FL-510,"Jacksonville-Duval, Clay Counties CoC","2,743","1,585","1,158","2,237","1,087","1,150",506,498,8,416,282,134
FL-511,Pensacola/Escambia/Santa Rosa County CoC,629,347,282,368,210,158,261,137,124,36,0,36
FL-512,Saint Johns County CoC,"1,238",106,"1,132","1,099",36,"1,063",139,70,69,119,0,119
FL-513,Palm Bay/Melbourne/Brevard County CoC,"1,899",502,"1,397","1,532",301,"1,231",367,201,166,576,25,551
FL-514,Ocala/Marion County CoC,480,312,168,348,180,168,132,132,0,7,7,0
FL-515,"Panama City/Bay, Jackson Counties CoC",313,211,102,269,167,102,44,44,0,30,0,30
FL-517,"Hendry, Hardee, Highlands Counties CoC",904,664,240,904,664,240,0,0,0,240,0,240
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",250,85,165,149,53,96,101,32,69,59,17,42
FL-519,Pasco County CoC,"2,260","1,379",881,433,246,187,"1,827","1,133",694,212,151,61
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC","2,019",192,"1,827",845,144,701,"1,174",48,"1,126",86,8,78
FL-600,Miami/Dade County CoC,"4,392","3,012","1,380","3,163","1,785","1,378","1,229","1,227",2,407,133,274
FL-601,Ft Lauderdale/Broward County CoC,"3,154","2,453",701,"2,451","1,814",637,703,639,64,222,59,163
FL-602,Punta Gorda/Charlotte County CoC,730,450,280,635,362,273,95,88,7,273,0,273
FL-603,Ft Myers/Cape Coral/Lee County CoC,"2,382",433,"1,949","1,958",374,"1,584",424,59,365,147,54,93
FL-604,Monroe County CoC,"1,121",477,644,"1,017",410,607,104,67,37,289,120,169
FL-605,West Palm Beach/Palm Beach County CoC,"1,766",727,"1,039","1,302",314,988,464,413,51,329,34,295
FL-606,Naples/Collier County CoC,484,365,119,383,269,114,101,96,5,50,0,50
GA-500,Atlanta Continuum of Care,"6,840","4,725","2,115","5,622","3,551","2,071","1,218","1,174",44,"1,196",583,613
GA-501,Georgia Balance of State CoC,"10,255","1,971","8,284","5,028","1,091","3,937","5,227",880,"4,347",657,278,379
GA-503,Athens/Clarke County CoC,464,333,131,304,181,123,160,152,8,158,74,84
GA-504,Augusta CoC,489,451,38,373,339,34,116,112,4,90,90,0
GA-505,Columbus-Muscogee/Russell County CoC,540,188,352,413,146,267,127,42,85,69,38,31
GA-506,Marietta/Cobb County CoC,537,329,208,346,160,186,191,169,22,154,45,109
GA-507,Savannah/Chatham County CoC,514,344,170,435,275,160,79,69,10,160,0,160
GU-500,Guam CoC,725,103,622,254,53,201,471,50,421,0,0,0
HI-500,Hawaii Balance of State CoC,"2,320",755,"1,565","1,245",346,899,"1,075",409,666,553,18,535
HI-501,Honolulu CoC,"3,750","1,957","1,793","2,090",754,"1,336","1,660","1,203",457,225,114,111
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",164,159,5,122,117,5,42,42,0,41,41,0
IA-501,Iowa Balance of State CoC,"1,529","1,340",189,678,527,151,851,813,38,107,84,23
IA-502,Des Moines/Polk County CoC,"1,041",942,99,704,610,94,337,332,5,159,100,59
ID-500,Boise/Ada County CoC,581,472,109,410,307,103,171,165,6,26,4,22
ID-501,Idaho Balance of State,"1,168",653,515,692,306,386,476,347,129,69,33,36
IL-500,McHenry County CoC,253,235,18,183,172,11,70,63,7,34,23,11
IL-501,"Rockford/Winnebago, Boone Counties CoC",575,525,50,321,276,45,254,249,5,110,90,20
IL-502,Waukegan/North Chicago/Lake County CoC,496,486,10,240,230,10,256,256,0,52,48,4
IL-503,Champaign/Urbana/Rantoul/Champaign County CoC,429,416,13,158,156,2,271,260,11,59,57,2
IL-504,Madison County CoC,240,203,37,77,46,31,163,157,6,23,15,8
IL-506,Joliet/Bolingbrook/Will County CoC,397,379,18,244,229,15,153,150,3,39,25,14
IL-507,"Peoria/Perkin/Fulton, Peoria, Tazewell, Woodford CoC",434,336,98,335,237,98,99,99,0,183,85,98
IL-508,East Saint Louis/Belleville/Saint Clair County CoC,799,442,357,286,146,140,513,296,217,82,20,62
IL-509,Dekalb City & County CoC,130,106,24,60,48,12,70,58,12,39,29,10
IL-510,Chicago CoC,"5,979","4,346","1,633","3,927","2,359","1,568","2,052","1,987",65,"1,018",334,684
IL-511,Cook County CoC,"1,420","1,162",258,721,472,249,699,690,9,237,141,96
IL-512,Bloomington/Central Illinois CoC,467,399,68,228,185,43,239,214,25,57,44,13
IL-513,Springfield/Sangamon County CoC,260,245,15,96,81,15,164,164,0,24,17,7
IL-514,DuPage County CoC,766,642,124,380,278,102,386,364,22,173,71,102
IL-515,South Central Illinois CoC,246,214,32,58,50,8,188,164,24,11,10,1
IL-516,Decatur/Macon County CoC,347,167,180,124,65,59,223,102,121,34,21,13
IL-517,Aurora/Elgin/Kane County CoC,474,418,56,356,300,56,118,118,0,245,212,33
IL-518,Rock Island/Moline/Northwestern Illinois CoC,600,506,94,208,197,11,392,309,83,85,75,10
IL-519,West Central Illinois CoC,305,148,157,235,97,138,70,51,19,17,4,13
IL-520,Southern Illinois CoC,870,796,74,416,358,58,454,438,16,159,113,46
IN-500,South Bend/Mishawaka/St. Joseph County CoC,584,584,0,417,417,0,167,167,0,115,0,115
IN-502,Indiana Balance of State CoC,"4,906","3,878","1,028","2,990","2,114",876,"1,916","1,764",152,450,348,102
IN-503,Indianapolis CoC,"1,868","1,634",234,"1,327","1,093",234,541,541,0,129,102,27
KS-502,Wichita/Sedgwick County CoC,526,473,53,368,316,52,158,157,1,56,51,5
KS-503,Topeka/Shawnee County CoC,227,226,1,99,98,1,128,128,0,18,17,1
KS-505,Overland Park/Shawnee/Johnson County CoC,234,147,87,60,17,43,174,130,44,12,3,9
KS-507,Kansas Balance of State CoC,937,853,84,554,497,57,383,356,27,50,36,14
KY-500,Kentucky Balance of State CoC,"4,316","2,421","1,895","1,503",771,732,"2,813","1,650","1,163",186,113,73
KY-501,Louisville/Jefferson County CoC,"2,587","2,407",180,"1,641","1,461",180,946,946,0,259,125,134
KY-502,Lexington/Fayette County CoC,"1,158","1,112",46,746,702,44,412,410,2,129,113,16
LA-500,Lafayette/Acadiana CoC,631,457,174,305,214,91,326,243,83,47,16,31
LA-502,Shreveport/Bossier/Northwest CoC,857,723,134,504,441,63,353,282,71,78,52,26
LA-503,New Orleans/Jefferson Parish CoC,"1,619",990,629,801,504,297,818,486,332,220,60,160
LA-504,Baton Rouge CoC,"1,042",801,241,702,541,161,340,260,80,77,20,57
LA-505,Monroe/Northeast Louisiana CoC,313,262,51,120,106,14,193,156,37,15,14,1
LA-506,Slidell/Southeast Louisiana CoC,434,203,231,171,66,105,263,137,126,42,15,27
LA-507,Alexandria/Central Louisiana CoC,188,140,48,109,72,37,79,68,11,26,14,12
LA-508,Houma-Terrebonne/Thibodaux CoC,163,122,41,62,40,22,101,82,19,13,2,11
LA-509,Louisiana Balance of State,247,219,28,199,171,28,48,48,0,44,33,11
MA-500,Boston CoC,"5,104","4,798",306,"2,948","2,642",306,"2,156","2,156",0,988,854,134
MA-501,"Holyoke/Franklin, Hampden, Hampshire Counties CoC",964,911,53,417,364,53,547,547,0,81,46,35
MA-502,Lynn CoC,236,208,28,170,142,28,66,66,0,126,98,28
MA-503,Cape Cod/Islands CoC,697,368,329,408,170,238,289,198,91,288,93,195
MA-504,Springfield CoC,"1,053","1,020",33,729,696,33,324,324,0,149,136,13
MA-505,New Bedford CoC,390,356,34,309,275,34,81,81,0,78,78,0
MA-506,Worcester City & County CoC,"1,302","1,268",34,677,651,26,625,617,8,144,117,27
MA-507,Pittsfield/Berkshire County CoC,374,315,59,206,174,32,168,141,27,40,22,18
MA-508,Lowell CoC,432,418,14,208,194,14,224,224,0,143,129,14
MA-509,Cambridge CoC,432,376,56,346,290,56,86,86,0,200,144,56
MA-510,Gloucester/Haverhill/Salem/Essex County CoC,606,584,22,328,306,22,278,278,0,91,69,22
MA-511,Quincy/Brockton/Weymouth/Plymouth City and County CoC,934,819,115,419,304,115,515,515,0,167,61,106
MA-514,Framingham/Waltham CoC,747,575,172,225,206,19,522,369,153,108,89,19
MA-515,Fall River CoC,153,139,14,108,94,14,45,45,0,24,23,1
MA-516,Massachusetts Balance of State,"1,070","1,005",65,484,438,46,586,567,19,75,51,24
MA-517,Somerville CoC,211,196,15,137,122,15,74,74,0,41,41,0
MA-518,Brookline/Newton CoC,130,128,2,6,4,2,124,124,0,2,0,2
MA-519,Attleboro/Taunton/Bristol County CoC,292,229,63,167,107,60,125,122,3,45,5,40
MD-500,Cumberland/Allegany County CoC,162,141,21,78,62,16,84,79,5,25,12,13
MD-501,Baltimore City CoC,"2,607","1,978",629,"1,653","1,370",283,954,608,346,410,218,192
MD-502,Harford County CoC,145,132,13,94,81,13,51,51,0,31,23,8
MD-503,Annapolis/Anne Arundel County CoC,289,218,71,154,83,71,135,135,0,74,26,48
MD-504,Howard County CoC,175,151,24,54,30,24,121,121,0,0,0,0
MD-505,Baltimore County CoC,634,576,58,192,146,46,442,430,12,46,0,46
MD-506,Carroll County CoC,174,161,13,124,113,11,50,48,2,31,28,3
MD-507,Cecil County CoC,119,117,2,77,75,2,42,42,0,26,24,2
MD-508,"Charles, Calvert, St.Mary's Counties CoC","1,973",302,"1,671",563,154,409,"1,410",148,"1,262",243,75,168
MD-509,Frederick City & County CoC,223,214,9,142,133,9,81,81,0,42,33,9
MD-510,Garrett County CoC,82,63,19,33,24,9,49,39,10,0,0,0
MD-511,Mid-Shore Regional CoC,311,139,172,200,75,125,111,64,47,63,0,63
MD-512,Hagerstown/Washington County CoC,212,209,3,104,101,3,108,108,0,11,8,3
MD-513,Wicomico/Somerset/Worcester County CoC,215,178,37,138,108,30,77,70,7,53,42,11
MD-600,Prince George`s County/Maryland CoC,"1,168",823,345,806,461,345,362,362,0,264,104,160
MD-601,Montgomery County CoC,"1,139","1,016",123,640,517,123,499,499,0,231,156,75
ME-500,Maine Balance of State CoC,"1,897","1,844",53,689,650,39,"1,208","1,194",14,53,29,24
ME-502,Portland CoC,741,732,9,447,438,9,294,294,0,44,38,6
MI-500,Michigan Balance of State CoC,"2,434","1,424","1,010","1,064",508,556,"1,370",916,454,158,79,79
MI-501,Detroit CoC,"18,062","4,738","13,324","11,913","3,635","8,278","6,149","1,103","5,046","1,503",261,"1,242"
MI-502,Dearborn/Dearborn Heights/Westland/Wayne County CoC,865,618,247,513,416,97,352,202,150,122,42,80
MI-503,St. Clair Shores/Warren/Macomb County CoC,769,251,518,541,168,373,228,83,145,163,32,131
MI-504,Pontiac/Royal Oak/Oakland County CoC,"1,011",402,609,804,202,602,207,200,7,123,100,23
MI-505,Flint/Genesee County CoC,354,213,141,257,138,119,97,75,22,27,10,17
MI-506,Grand Rapids/Wyoming/Kent County CoC,912,807,105,462,378,84,450,429,21,74,34,40
MI-507,Portage/Kalamazoo City & County CoC,614,593,21,288,267,21,326,326,0,42,37,5
MI-508,Lansing/East Lansing/Ingham County CoC,408,391,17,205,188,17,203,203,0,122,105,17
MI-509,Ann Arbor/Washtenaw County CoC,413,357,56,285,229,56,128,128,0,85,48,37
MI-510,Saginaw City & County CoC,361,274,87,237,178,59,124,96,28,57,56,1
MI-511,Lenawee County CoC,93,85,8,45,43,2,48,42,6,20,19,1
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",241,216,25,165,140,25,76,76,0,55,36,19
MI-513,"Marquette, Alger Counties CoC",37,37,0,16,16,0,21,21,0,0,0,0
MI-514,Battle Creek/Calhoun County CoC,205,117,88,140,60,80,65,57,8,41,36,5
MI-515,Monroe City & County CoC,142,131,11,109,98,11,33,33,0,16,6,10
MI-516,Norton Shores/Muskegon City & County CoC,332,147,185,152,100,52,180,47,133,75,21,54
MI-517,Jackson City & County CoC,463,282,181,186,75,111,277,207,70,23,0,23
MI-518,Livingston County CoC,63,58,5,25,20,5,38,38,0,4,3,1
MI-519,Holland/Ottawa County CoC,319,306,13,109,106,3,210,200,10,3,0,3
MI-523,Eaton County CoC,197,105,92,37,2,35,160,103,57,3,2,1
MN-500,Minneapolis/Hennepin County CoC,"2,984","2,428",556,"1,511",991,520,"1,473","1,437",36,763,567,196
MN-501,Saint Paul/Ramsey County CoC,"1,294","1,170",124,618,503,115,676,667,9,240,189,51
MN-502,Rochester/Southeast Minnesota CoC,446,413,33,143,127,16,303,286,17,32,26,6
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",800,664,136,141,95,46,659,569,90,39,19,20
MN-504,Northeast Minnesota CoC,232,116,116,76,16,60,156,100,56,27,7,20
MN-505,St. Cloud/Central Minnesota CoC,389,313,76,187,144,43,202,169,33,69,33,36
MN-506,Northwest Minnesota CoC,266,235,31,114,91,23,152,144,8,45,34,11
MN-508,Moorhead/West Central Minnesota CoC,242,165,77,144,75,69,98,90,8,82,49,33
MN-509,Duluth/St.Louis County CoC,501,294,207,270,105,165,231,189,42,105,35,70
MN-511,Southwest Minnesota CoC,169,80,89,65,34,31,104,46,58,12,8,4
MO-500,St. Louis County CoC,336,290,46,90,50,40,246,240,6,44,18,26
MO-501,St.Louis City CoC,"1,386","1,173",213,800,587,213,586,586,0,258,238,20
MO-503,"St. Charles, Lincoln, Warren Counties CoC",498,227,271,222,113,109,276,114,162,38,15,23
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",518,478,40,326,286,40,192,192,0,94,76,18
MO-602,"Joplin/Jasper, Newton Counties CoC",306,298,8,219,211,8,87,87,0,21,13,8
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",100,100,0,65,65,0,35,35,0,49,49,0
MO-604a,"Kansas City, Independence, Lee?s Summit/Jackson, Wyandotte Counties, MO & KS","1,786","1,575",211,947,764,183,839,811,28,495,382,113
MO-606,Missouri Balance of State CoC,"1,504","1,126",378,794,560,234,710,566,144,245,136,109
MS-500,"Jackson/Rankin, Madison Counties CoC",718,440,278,626,348,278,92,92,0,372,94,278
MS-501,Mississippi Balance of State CoC,385,344,41,233,192,41,152,152,0,99,70,29
MS-503,Gulf Port/Gulf Coast Regional CoC,274,67,207,256,53,203,18,14,4,122,5,117
MT-500,Montana Statewide CoC,"1,150",855,295,633,398,235,517,457,60,83,35,48
NC-500,Winston Salem/Forsyth County CoC,503,479,24,366,342,24,137,137,0,122,98,24
NC-501,Asheville/Buncombe County CoC,635,448,187,542,355,187,93,93,0,105,22,83
NC-502,Durham City & County CoC,539,502,37,436,399,37,103,103,0,95,58,37
NC-503,North Carolina Balance of State CoC,"2,610","1,552","1,058","1,436",838,598,"1,174",714,460,277,171,106
NC-504,Greensboro/High Point CoC,"1,182",980,202,878,692,186,304,288,16,212,142,70
NC-505,Charlotte/Mecklenberg CoC,"1,976","1,648",328,"1,564","1,239",325,412,409,3,222,137,85
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",628,419,209,459,340,119,169,79,90,206,87,119
NC-507,Raleigh/Wake County CoC,"1,043",973,70,705,635,70,338,338,0,79,68,11
NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",652,214,438,568,151,417,84,63,21,155,4,151
NC-511,Fayetteville/Cumberland County CoC,757,313,444,445,168,277,312,145,167,49,19,30
NC-513,Chapel Hill/Orange County CoC,208,183,25,148,127,21,60,56,4,46,36,10
NC-516,Northwest North Carolina CoC,"1,069",168,901,844,107,737,225,61,164,77,4,73
ND-500,North Dakota Statewide CoC,636,577,59,403,379,24,233,198,35,80,71,9
NE-500,Nebraska Balance of State CoC,695,537,158,298,229,69,397,308,89,45,21,24
NE-501,Omaha/Council Bluffs CoC,"1,870","1,632",238,"1,338","1,100",238,532,532,0,615,429,186
NE-502,Lincoln CoC,966,838,128,536,408,128,430,430,0,125,36,89
NH-500,New Hampshire Balance of State CoC,"1,300",769,531,665,397,268,635,372,263,137,116,21
NH-501,Manchester CoC,504,307,197,345,172,173,159,135,24,135,112,23
NH-502,Nashua/Hillsborough County CoC,444,197,247,245,82,163,199,115,84,95,35,60
NJ-500,Atlantic City & County CoC,514,425,89,358,272,86,156,153,3,138,84,54
NJ-501,Bergen County CoC,"1,392","1,210",182,623,507,116,769,703,66,65,23,42
NJ-502,Burlington County CoC,896,780,116,610,508,102,286,272,14,218,187,31
NJ-503,"Camden City/Camden, Cumberland, Gloucester, Cape May Counties CoC","1,433","1,124",309,"1,005",739,266,428,385,43,214,105,109
NJ-504,Newark/Essex County CoC,"2,326","1,906",420,"1,409","1,080",329,917,826,91,379,182,197
NJ-506,Jersey City/Bayonne/Hudson County CoC,"2,842","2,678",164,891,727,164,"1,951","1,951",0,414,293,121
NJ-507,New Brunswick/Middlesex County CoC,996,728,268,722,478,244,274,250,24,245,164,81
NJ-508,Monmouth County CoC,830,757,73,442,381,61,388,376,12,90,40,50
NJ-509,Morris County CoC,292,229,63,152,89,63,140,140,0,91,28,63
NJ-510,Lakewood Township/Ocean County CoC,424,381,43,257,214,43,167,167,0,44,21,23
NJ-511,Paterson/Passaic County CoC,"1,062",831,231,378,275,103,684,556,128,194,152,42
NJ-512,Salem County CoC,465,454,11,251,240,11,214,214,0,15,6,9
NJ-513,Somerset County CoC,366,343,23,219,196,23,147,147,0,24,13,11
NJ-514,Trenton/Mercer County CoC,"1,598","1,242",356,840,629,211,758,613,145,194,124,70
NJ-515,Elizabeth/Union County CoC,"1,188","1,072",116,423,319,104,765,753,12,79,46,33
NJ-516,"Warren, Sussex, Hunterdon Counties CoC",690,676,14,392,380,12,298,296,2,121,114,7
NM-500,Albuquerque CoC,"1,276",989,287,821,606,215,455,383,72,159,78,81
NM-501,New Mexico Balance of State CoC,"1,739",759,980,"1,040",457,583,699,302,397,552,167,385
NV-500,Las Vegas/Clark County CoC,"7,533","3,844","3,689","5,624","2,902","2,722","1,909",942,967,808,174,634
NV-501,Reno/Sparks/Washoe County CoC,863,765,98,742,647,95,121,118,3,33,0,33
NV-502,Nevada Balance of State CoC,246,209,37,111,90,21,135,119,16,30,17,13
NY-500,Rochester/Irondequoit/Greece/Monroe County CoC,612,602,10,337,327,10,275,275,0,81,71,10
NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",175,174,1,139,138,1,36,36,0,5,4,1
NY-503,Albany City & County CoC,619,539,80,396,331,65,223,208,15,68,24,44
NY-504,Cattaragus County CoC,142,104,38,95,67,28,47,37,10,0,0,0
NY-505,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",795,762,33,634,617,17,161,145,16,74,66,8
NY-507,Schenectady City & County CoC,288,209,79,156,92,64,132,117,15,35,29,6
