State,Number of CoCs,"Total Homeless, 2007","Sheltered Homeless, 2007","Unsheltered Homeless, 2007","Homeless Individuals, 2007","Sheltered Homeless Individuals, 2007","Unsheltered Homeless Individuals, 2007","Homeless People in Families, 2007","Sheltered Homeless People in Families, 2007","Unsheltered Homeless People in Families, 2007","Chronically Homeless Individuals, 2007","Sheltered Chronically Homeless Individuals, 2007","Unsheltered Chronically Homeless Individuals, 2007","Homeless Veterans, 2007","Sheltered Homeless Veterans, 2007","Unsheltered Homeless Veterans, 2007"
TN,10,"11,210","6,446","4,764","8,462","4,723","3,739","2,748","1,723","1,025","2,767",896,"1,871","1,028",859,169
TX,18,"39,788","22,882","16,906","26,306","13,119","13,187","13,482","9,763","3,719","7,931","3,290","4,641","5,527","3,034","2,493"
UT,3,"3,011","2,698",313,"1,945","1,632",313,"1,066","1,066",0,801,488,313,227,202,25
VA,22,"9,746","7,567","2,179","5,523","3,792","1,731","4,223","3,775",448,"1,963",923,"1,040",848,657,191
VI,1,559,72,487,537,50,487,22,22,0,487,0,487,5,5,0
VT,2,"1,035",720,315,599,380,219,436,340,96,191,60,131,64,38,26
WA,8,"23,379","16,857","6,522","13,289","8,113","5,176","10,090","8,744","1,346","2,603","1,333","1,270","1,421","1,199",222
WI,4,"5,648","5,085",563,"2,403","2,071",332,"3,245","3,014",231,689,468,221,466,449,17
WV,4,"2,409","2,147",262,"1,915","1,724",191,494,423,71,"1,151","1,058",93,787,760,27
WY,1,537,397,140,331,257,74,206,140,66,38,0,38,40,40,0
Total,461,"647,258","391,401","255,857","412,700","213,073","199,627","234,558","178,328","56,230","119,813","41,768","78,045","60,988","39,653","21,335"
,,,,,,,,,,,,,,,,
